cur_index, vanilla, stacked, bidirectional, all_models, no_models
164,1037791.2780403853,1041272.6057450841,1043090.4560855018,1053212.8371455064,1058290.6868668564
165,1039196.7867962393,1041272.6057450841,1043090.4560855018,1054639.2317353522,1057704.5121607326
166,1038621.187975741,1041819.104584684,1042512.7006075938,1054055.0795270782,1058846.1174324367
167,1039742.1961683545,1041819.104584684,1043637.9090010048,1055192.7458806008,1058452.5517127642
168,1039355.731243025,1041772.8284732663,1043249.996066376,1054800.538093663,1058799.0850055125
169,1039696.0123102319,1041772.8284732663,1043591.5521009017,1055145.8757312049,1058629.483223574
170,1040253.0176294082,1041605.9540108811,1043424.3863096209,1054976.8591318675,1059366.3245787187
171,1040253.0176294082,1042330.9464230924,1044150.6444112357,1055711.1581390726,1058333.6472221855
172,1039238.9720519271,1041314.8752667687,1043132.7994011804,1054682.0438631554,1057327.2347274409
173,1038345.684267979,1040419.8031203859,1042140.8420106631,1053679.1038265114,1057423.946427826
174,1038345.684267979,1040419.8031203859,1042236.1646407451,1053775.481839339,1056252.6150334775
175,1038192.9376549673,1040266.75139258,1042082.8457157289,1053620.4654144966,1057268.3932928909
176,1038274.3092145168,1040348.2854936493,1042164.5221587677,1053703.0461539086,1057351.2599498525
177,1038274.3092145168,1040348.2854936493,1042164.5221587677,1053703.0461539086,1057320.1086021494
178,1038592.7978984535,1040317.6350821909,1042484.2041581798,1053672.0022887243,1057675.600452407
179,1038592.7978984535,1040667.4103658937,1042484.2041581798,1054026.26757377,1058712.9606912748
180,1042834.5153613548,1044917.6007548058,1043506.6647903232,1055060.0485745184,1061995.2540005557
181,1043708.6098536156,1044917.6007548058,1046741.8145156982,1058331.0168793409,1062885.4088512582
182,1043644.8321447797,1045793.4412704697,1047619.1840708959,1059218.1003995123,1062820.4593093155
183,1043644.8321447797,1045943.4880559759,1047769.4928075938,1059370.07330816,1063037.9079324973
184,1043644.8321447797,1045943.4880559759,1047769.4928075938,1059370.07330816,1062956.6701041737
185,1043565.0763439076,1045863.5565907996,1046656.92720512,1059289.115777385,1061909.129686318
186,1042536.6462800315,1045252.7519859829,1046656.92720512,1058245.1897226546,1062335.8827894912
187,1042955.6140961412,1045252.7519859829,1046656.9272051199,1058670.4703855729,1062743.0899490074
188,1042222.4204179492,1045653.4109592966,1045520.3699636634,1059076.2725448462,1061589.0648589383
189,1042222.4204179492,1044517.9434289255,1045520.3699636634,1057926.2292254658,1063346.163752251
190,1042222.4204179492,1046246.7868987743,1045520.3699636634,1059677.26554273,1063734.0285716902
191,1042222.4204179492,1045742.3572513723,1045520.3699636634,1060063.7920994377,1062833.48993842
192,1042222.4204179492,1045742.3572513723,1045520.3699636634,1059166.3606242049,1063808.343878302
193,1042222.4204179492,1045742.3572513723,1045520.3699636634,1060137.8509935052,1064368.4573262166
194,1042222.4204179492,1045884.1860251927,1045520.3699636634,1060696.0318635856,1064512.8122642653
195,1042222.4204179492,1045884.1860251927,1045520.3699636634,1060839.888729048,1064004.6177291889
196,1042222.4204179492,1045384.884728358,1045520.3699636634,1060333.4476342748,1062320.00171027
197,1042222.4204179492,1043729.7489390909,1045520.3699636634,1058654.6441013613,1062270.9332475483
198,1042222.4204179492,1043681.5391584269,1045520.3699636634,1058605.744941169,1061494.3891943507
199,1042222.4204179492,1042918.5843723181,1045520.3699636634,1057831.8802234347,1060144.2938569745
200,1042222.4204179492,1041592.1152620172,1045520.3699636634,1056486.4431643642,1060476.37129556
201,1042222.4204179492,1041958.9896924638,1045520.3699636634,1056817.3748252515,1060517.702822251
202,1042222.4204179492,1041958.9896924638,1045520.3699636634,1056858.5637444176,1061836.2396047646
203,1042222.4204179492,1043658.3344507215,1045520.3699636633,1058582.208415931,1062247.3152322965
204,1042375.6404478885,1043811.7655783946,1045674.0748343796,1058737.8335440124,1062403.479177971
205,1042375.6404478885,1043811.7655783946,1045674.0748343796,1058737.8335440124,1061239.070305334
206,1041233.1823628517,1042667.7334803987,1044528.0016197423,1057577.4422695702,1059851.1047021227
207,1040928.5401911992,1042362.6715903054,1044222.3954556712,1057268.0181231245,1060928.5748462027
208,1040928.5401911992,1042362.6715903054,1044222.3954556712,1057268.0181231245,1059875.1299245344
209,1038476.0208853773,1041327.6616104083,1043185.5388701609,1056218.2079370844,1058428.9336975121
210,1038476.0208853773,1039906.7733446163,1042362.9071957271,1054777.0015684254,1059039.337229627
211,1038476.0208853773,1040506.4950144521,1042362.9071957271,1055385.299005176,1058858.9444579615
212,1038299.130791563,1040329.2590573226,1042185.3550243392,1055205.5286486181,1057461.4094865015
213,1036928.7316900466,1039441.2789064213,1041295.7905900367,1053812.815637992,1057955.148167415
214,1038245.2252324997,1040275.2480997322,1041295.7905900367,1054304.8507561109,1058803.9714914267
